Study years,species,Region,Island,Clutch Completion,Date egg,culmen length,culmen depth,flipper length,body mass,sex,Delta 15 N,Delta 13,comments,year
2009-10,Chinstrap,Anvers,Dream,Yes,Nov-2009,51.4,19.0,201.0,3950.0,Male,9.43782,-24.36202,,2009
2009-10,Chinstrap,Anvers,Dream,Yes,Nov-2009,45.7,17.3,193.0,3600.0,Female,9.415,-24.805,,2009
2009-10,Chinstrap,Anvers,Dream,Yes,Nov-2009,50.7,19.7,203.0,4050.0,Male,9.93727,-24.59066,,2009
2009-10,Chinstrap,Anvers,Dream,Yes,Nov-2009,42.5,17.3,187.0,3350.0,Female,9.56534,-24.60882,,2009
2009-10,Chinstrap,Anvers,Dream,Yes,Nov-2009,52.2,18.8,197.0,3450.0,Male,9.77528,-24.56481,,2009
2009-10,Chinstrap,Anvers,Dream,Yes,Nov-2009,45.2,16.6,191.0,3250.0,Female,9.62357,-24.78984,,2009
2009-10,Chinstrap,Anvers,Dream,Yes,Nov-2009,49.3,19.9,203.0,4050.0,Male,9.88809,-24.59513,,2009
2009-10,Chinstrap,Anvers,Dream,Yes,Nov-2009,50.2,18.8,202.0,3800.0,Male,9.74492,-24.404,,2009
2009-10,Chinstrap,Anvers,Dream,Yes,Nov-2009,45.6,19.4,194.0,3525.0,Female,9.46985,-24.65786,,2009
2009-10,Chinstrap,Anvers,Dream,Yes,Nov-2009,51.9,19.5,206.0,3950.0,Male,9.00130141011029,-23.78767,,2009
2009-10,Chinstrap,Anvers,Dream,Yes,Nov-2009,46.8,16.5,189.0,3650.0,Female,9.65061,-24.48153,,2009
2009-10,Chinstrap,Anvers,Dream,Yes,Nov-2009,45.7,17.0,195.0,3650.0,Female,9.26715,-24.31912,,2009
2009-10,Chinstrap,Anvers,Dream,Yes,Nov-2009,55.8,19.8,207.0,4000.0,Male,9.70465,-24.53494,,2009
2009-10,Chinstrap,Anvers,Dream,No,Nov-2009,43.5,18.1,202.0,3400.0,Female,9.37608,-24.40753,,2009
2009-10,Chinstrap,Anvers,Dream,No,Nov-2009,49.6,18.2,193.0,3775.0,Male,9.4618,-24.70615,,2009
2009-10,Chinstrap,Anvers,Dream,Yes,Nov-2009,50.8,19.0,210.0,4100.0,Male,9.98044,-24.68741,,2009
2009-10,Chinstrap,Anvers,Dream,Yes,Nov-2009,50.2,18.7,198.0,3775.0,Female,9.39305,-24.25255,,2009
2007-08,Gentoo,Anvers,Biscoe,Yes,Nov-2007,46.1,13.2,211.0,4500.0,Female,7.993,-25.5139,,2007
2007-08,Gentoo,Anvers,Biscoe,Yes,Nov-2007,50.0,16.3,230.0,5700.0,Male,8.14756,-25.39369,,2007
2007-08,Gentoo,Anvers,Biscoe,Yes,Nov-2007,48.7,14.1,210.0,4450.0,Female,8.14705,-25.46172,,2007
2007-08,Gentoo,Anvers,Biscoe,Yes,Nov-2007,50.0,15.2,218.0,5700.0,Male,8.2554,-25.40075,,2007
2007-08,Gentoo,Anvers,Biscoe,Yes,Nov-2007,47.6,14.5,215.0,5400.0,Male,8.2345,-25.54456,,2007
2007-08,Gentoo,Anvers,Biscoe,Yes,Nov-2007,46.5,13.5,210.0,4550.0,Female,7.9953,-25.32829,,2007
2007-08,Gentoo,Anvers,Biscoe,Yes,Nov-2007,45.4,14.6,211.0,4800.0,Female,8.24515,-25.46782,,2007
2007-08,Gentoo,Anvers,Biscoe,Yes,Nov-2007,46.7,15.3,219.0,5200.0,Male,8.22673,-25.4276,,2007
2007-08,Gentoo,Anvers,Biscoe,Yes,Nov-2007,43.3,13.4,209.0,4400.0,Female,8.13643,-25.32176,,2007
2007-08,Gentoo,Anvers,Biscoe,Yes,Nov-2007,46.8,15.4,215.0,5150.0,Male,8.1631,-25.38017,,2007
2007-08,Gentoo,Anvers,Biscoe,No,Nov-2007,40.9,13.7,214.0,4650.0,Female,8.19579,-25.3933,,2007
2007-08,Gentoo,Anvers,Biscoe,No,Nov-2007,49.0,16.1,216.0,5550.0,Male,8.10417,-25.50562,,2007
2007-08,Gentoo,Anvers,Biscoe,Yes,Nov-2007,45.5,13.7,214.0,4650.0,Female,7.77672,-25.4168,,2007
2007-08,Gentoo,Anvers,Biscoe,Yes,Nov-2007,48.4,14.6,213.0,5850.0,Male,7.8208,-25.48025,,2007
2007-08,Gentoo,Anvers,Biscoe,Yes,Dec-2007,45.8,14.6,210.0,4200.0,Female,7.79958,-25.62618,,2007
2007-08,Gentoo,Anvers,Biscoe,Yes,Dec-2007,49.3,15.7,217.0,5850.0,Male,8.07137,-25.52473,,2007
2007-08,Gentoo,Anvers,Biscoe,Yes,Nov-2007,42.0,13.5,210.0,4150.0,Female,7.63884,-25.52627,,2007
2007-08,Gentoo,Anvers,Biscoe,Yes,Nov-2007,49.2,15.2,221.0,6300.0,Male,8.27376,-25.00169,,2007
2007-08,Gentoo,Anvers,Biscoe,Yes,Nov-2007,46.2,14.5,209.0,4800.0,Female,7.84057,-25.37899,,2007
2007-08,Gentoo,Anvers,Biscoe,Yes,Nov-2007,48.7,15.1,222.0,5350.0,Male,7.96491,-25.39587,,2007
2007-08,Gentoo,Anvers,Biscoe,Yes,Nov-2007,50.2,14.3,218.0,5700.0,Male,7.8962,-25.37746,,2007
2007-08,Gentoo,Anvers,Biscoe,Yes,Nov-2007,45.1,14.5,215.0,5000.0,Female,7.6322,-25.46569,,2007
2007-08,Gentoo,Anvers,Biscoe,Yes,Nov-2007,46.5,14.5,213.0,4400.0,Female,7.90436,-25.3947,,2007
2007-08,Gentoo,Anvers,Biscoe,Yes,Nov-2007,46.3,15.8,215.0,5050.0,Male,7.90971,-25.38157,,2007
2007-08,Gentoo,Anvers,Biscoe,Yes,Nov-2007,42.9,13.1,215.0,5000.0,Female,7.68528,-25.39181,,2007
2007-08,Gentoo,Anvers,Biscoe,Yes,Nov-2007,46.1,15.1,215.0,5100.0,Male,7.83733,-25.42826,,2007
2007-08,Gentoo,Anvers,Biscoe,Yes,Nov-2007,44.5,14.3,216.0,4100.0,,7.96621,-25.69327,,2007
2007-08,Gentoo,Anvers,Biscoe,Yes,Nov-2007,47.8,15.0,215.0,5650.0,Male,7.92358,-25.48383,,2007
2007-08,Gentoo,Anvers,Biscoe,Yes,Nov-2007,48.2,14.3,210.0,4600.0,Female,7.6887,-25.50811,,2007
2007-08,Gentoo,Anvers,Biscoe,Yes,Nov-2007,50.0,15.3,220.0,5550.0,Male,8.30515,-25.19017,,2007
2007-08,Gentoo,Anvers,Biscoe,Yes,Nov-2007,47.3,15.3,222.0,5250.0,Male,8.691547587159173,-26.156987355169658,,2007
2007-08,Gentoo,Anvers,Biscoe,Yes,Nov-2007,42.8,14.2,209.0,4700.0,Female,7.63452,-25.46327,,2007
2007-08,Gentoo,Anvers,Biscoe,Yes,Dec-2007,45.1,14.5,207.0,5050.0,Female,7.97408,-25.53768,,2007
2007-08,Gentoo,Anvers,Biscoe,Yes,Dec-2007,59.6,17.0,230.0,6050.0,Male,7.76843,-25.6821,,2007
2008-09,Gentoo,Anvers,Biscoe,Yes,Nov-2008,49.1,14.8,220.0,5150.0,Female,7.89744,-26.63405,,2008
2008-09,Gentoo,Anvers,Biscoe,Yes,Nov-2008,48.4,16.3,220.0,5400.0,Male,8.03659,-26.86127,,2008
2008-09,Gentoo,Anvers,Biscoe,Yes,Nov-2008,42.6,13.7,213.0,4950.0,Female,7.96935,-26.70968,,2008
2008-09,Gentoo,Anvers,Biscoe,Yes,Nov-2008,44.4,17.3,219.0,5250.0,Male,8.13746,-26.79093,,2008
2008-09,Gentoo,Anvers,Biscoe,Yes,Nov-2008,44.0,13.6,208.0,4350.0,Female,8.01979,-26.68311,,2008
2008-09,Gentoo,Anvers,Biscoe,Yes,Nov-2008,48.7,15.7,208.0,5350.0,Male,8.14776,-26.84506,,2008
2008-09,Gentoo,Anvers,Biscoe,No,Nov-2008,42.7,13.7,208.0,3950.0,Female,8.14567,-26.59467,,2008
2008-09,Gentoo,Anvers,Biscoe,No,Nov-2008,49.6,16.0,225.0,5700.0,Male,8.38324,-26.84272,,2008
2008-09,Gentoo,Anvers,Biscoe,Yes,Nov-2008,45.3,13.7,210.0,4300.0,Female,8.37615,-26.72791,,2008
2008-09,Gentoo,Anvers,Biscoe,Yes,Nov-2008,49.6,15.0,216.0,4750.0,Male,8.26548,-26.7699,,2008
2008-09,Gentoo,Anvers,Biscoe,Yes,Nov-2008,50.5,15.9,222.0,5550.0,Male,8.46894,-26.60436,,2008
2008-09,Gentoo,Anvers,Biscoe,Yes,Nov-2008,43.6,13.9,217.0,4900.0,Female,8.27141,-26.7765,,2008
2008-09,Gentoo,Anvers,Biscoe,No,Nov-2008,45.5,13.9,210.0,4200.0,Female,8.47829,-26.61788,,2008
2008-09,Gentoo,Anvers,Biscoe,No,Nov-2008,50.5,15.9,225.0,5400.0,Male,8.65803,-26.57585,,2008
2008-09,Gentoo,Anvers,Biscoe,Yes,Nov-2008,44.9,13.3,213.0,5100.0,Female,8.45167,-26.89644,,2008
2008-09,Gentoo,Anvers,Biscoe,Yes,Nov-2008,45.2,15.8,215.0,5300.0,Male,8.55868,-26.67799,,2008
2008-09,Gentoo,Anvers,Biscoe,Yes,Nov-2008,46.6,14.2,210.0,4850.0,Female,8.38289,-26.86352,,2008
2008-09,Gentoo,Anvers,Biscoe,Yes,Nov-2008,48.5,14.1,220.0,5300.0,Male,8.39867,-26.79358,,2008
2008-09,Gentoo,Anvers,Biscoe,Yes,Nov-2008,45.1,14.4,210.0,4400.0,Female,8.51951,-27.01854,,2008
2008-09,Gentoo,Anvers,Biscoe,Yes,Nov-2008,50.1,15.0,225.0,5000.0,Male,8.50153,-26.61414,,2008
2008-09,Gentoo,Anvers,Biscoe,Yes,Nov-2008,46.5,14.4,217.0,4900.0,Female,8.48789,-26.83006,,2008
2008-09,Gentoo,Anvers,Biscoe,Yes,Nov-2008,45.0,15.4,220.0,5050.0,Male,8.63488,-26.75621,,2008
2008-09,Gentoo,Anvers,Biscoe,Yes,Nov-2008,43.8,13.9,208.0,4300.0,Female,8.58319,-26.84415,,2008
2008-09,Gentoo,Anvers,Biscoe,Yes,Nov-2008,45.5,15.0,220.0,5000.0,Male,8.63604,-26.7489,,2008
2008-09,Gentoo,Anvers,Biscoe,Yes,Nov-2008,43.2,14.5,208.0,4450.0,Female,8.48367,-26.86485,,2008
2008-09,Gentoo,Anvers,Biscoe,Yes,Nov-2008,50.4,15.3,224.0,5550.0,Male,8.74647,-26.79846,,2008
2008-09,Gentoo,Anvers,Biscoe,Yes,Nov-2008,45.3,13.8,208.0,4200.0,Female,8.65015,-26.79053,,2008
2008-09,Gentoo,Anvers,Biscoe,Yes,Nov-2008,46.2,14.9,221.0,5300.0,Male,8.60092,-26.84374,,2008
2008-09,Gentoo,Anvers,Biscoe,Yes,Nov-2008,45.7,13.9,214.0,4400.0,Female,8.6287,-26.60484,,2008
2008-09,Gentoo,Anvers,Biscoe,Yes,Nov-2008,54.3,15.7,231.0,5650.0,Male,8.49662,-26.84166,,2008
2008-09,Gentoo,Anvers,Biscoe,Yes,Nov-2008,45.8,14.2,219.0,4700.0,Female,8.60447,-26.61601,,2008
2008-09,Gentoo,Anvers,Biscoe,Yes,Nov-2008,49.8,16.8,230.0,5700.0,Male,8.47067,-26.69166,,2008
2008-09,Gentoo,Anvers,Biscoe,Yes,Nov-2008,46.2,14.4,214.0,4650.0,,8.24253,-26.8154,,2008
2008-09,Gentoo,Anvers,Biscoe,Yes,Nov-2008,49.5,16.2,229.0,5800.0,Male,8.49854,-26.74809,,2008
2008-09,Gentoo,Anvers,Biscoe,Yes,Nov-2008,43.5,14.2,220.0,4700.0,Female,8.64931,-26.68867,,2008
2008-09,Gentoo,Anvers,Biscoe,Yes,Nov-2008,50.7,15.0,223.0,5550.0,Male,8.63551,-26.74249,,2008
2008-09,Gentoo,Anvers,Biscoe,Yes,Nov-2008,47.7,15.0,216.0,4750.0,Female,8.53018,-26.72751,,2008
2008-09,Gentoo,Anvers,Biscoe,Yes,Nov-2008,46.4,15.6,221.0,5000.0,Male,8.35078,-26.70783,,2008
2008-09,Gentoo,Anvers,Biscoe,Yes,Nov-2008,48.2,15.6,221.0,5100.0,Male,8.24651,-26.66958,,2008
2008-09,Gentoo,Anvers,Biscoe,Yes,Nov-2008,46.5,14.8,217.0,5200.0,Female,8.58487,-26.5929,,2008
2008-09,Gentoo,Anvers,Biscoe,Yes,Nov-2008,46.4,15.0,216.0,4700.0,Female,8.47938,-26.9547,,2008
2008-09,Gentoo,Anvers,Biscoe,Yes,Nov-2008,48.6,16.0,230.0,5800.0,Male,8.5964,-26.71199,,2008
2008-09,Gentoo,Anvers,Biscoe,Yes,Nov-2008,47.5,14.2,209.0,4600.0,Female,8.39299,-26.78733,,2008
2008-09,Gentoo,Anvers,Biscoe,Yes,Nov-2008,51.1,16.3,220.0,6000.0,Male,8.40327,-26.76821,,2008
2008-09,Gentoo,Anvers,Biscoe,Yes,Nov-2008,45.2,13.8,215.0,4750.0,Female,8.24694,-26.65359,,2008
2008-09,Gentoo,Anvers,Biscoe,Yes,Nov-2008,45.2,16.4,223.0,5950.0,Male,8.19749,-26.65931,,2008
2009-10,Gentoo,Anvers,Biscoe,Yes,Nov-2009,49.1,14.5,212.0,4625.0,Female,8.35802,-26.2766,,2009
2009-10,Gentoo,Anvers,Biscoe,Yes,Nov-2009,52.5,15.6,221.0,5450.0,Male,8.28601,-26.27573,,2009
2009-10,Gentoo,Anvers,Biscoe,Yes,Nov-2009,47.4,14.6,212.0,4725.0,Female,8.19101,-26.24369,,2009
2009-10,Gentoo,Anvers,Biscoe,Yes,Nov-2009,50.0,15.9,224.0,5350.0,Male,8.20042,-26.39677,,2009
2009-10,Gentoo,Anvers,Biscoe,Yes,Nov-2009,44.9,13.8,212.0,4750.0,Female,8.11238,-26.20372,,2009
2009-10,Gentoo,Anvers,Biscoe,Yes,Nov-2009,50.8,17.3,228.0,5600.0,Male,8.27428,-26.30019,,2009
2009-10,Gentoo,Anvers,Biscoe,Yes,Nov-2009,43.4,14.4,218.0,4600.0,Female,8.23468,-26.18599,,2009
2009-10,Gentoo,Anvers,Biscoe,Yes,Nov-2009,51.3,14.2,218.0,5300.0,Male,8.15426,-26.3433,,2009
2009-10,Gentoo,Anvers,Biscoe,Yes,Nov-2009,47.5,14.0,212.0,4875.0,Female,8.12691,-26.23613,,2009
2009-10,Gentoo,Anvers,Biscoe,Yes,Nov-2009,52.1,17.0,230.0,5550.0,Male,8.27595,-26.11657,,2009
2009-10,Gentoo,Anvers,Biscoe,Yes,Nov-2009,47.5,15.0,218.0,4950.0,Female,8.29671,-26.08547,,2009
2009-10,Gentoo,Anvers,Biscoe,Yes,Nov-2009,52.2,17.1,228.0,5400.0,Male,8.36701,-25.89834,,2009
2009-10,Gentoo,Anvers,Biscoe,Yes,Dec-2009,45.5,14.5,212.0,4750.0,Female,8.15566,-26.22848,,2009
2009-10,Gentoo,Anvers,Biscoe,Yes,Dec-2009,49.5,16.1,224.0,5650.0,Male,8.83352,-25.69195,,2009
2009-10,Gentoo,Anvers,Biscoe,Yes,Nov-2009,44.5,14.7,214.0,4850.0,Female,8.20106,-26.16524,,2009
2009-10,Gentoo,Anvers,Biscoe,Yes,Nov-2009,50.8,15.7,226.0,5200.0,Male,8.27102,-26.11244,,2009
2009-10,Gentoo,Anvers,Biscoe,Yes,Nov-2009,49.4,15.8,216.0,4925.0,Male,8.03624,-26.06594,,2009
2009-10,Gentoo,Anvers,Biscoe,Yes,Nov-2009,46.9,14.6,222.0,4875.0,Female,7.8881,-26.04726,,2009
2009-10,Gentoo,Anvers,Biscoe,Yes,Nov-2009,48.4,14.4,203.0,4625.0,Female,8.16582,-26.13971,,2009
2009-10,Gentoo,Anvers,Biscoe,Yes,Nov-2009,51.1,16.5,225.0,5250.0,Male,8.2066,-26.36863,,2009
2009-10,Gentoo,Anvers,Biscoe,Yes,Nov-2009,48.5,15.0,219.0,4850.0,Female,8.10231,-26.18763,,2009
2009-10,Gentoo,Anvers,Biscoe,Yes,Nov-2009,55.9,17.0,228.0,5600.0,Male,8.3118,-26.35425,,2009
2009-10,Gentoo,Anvers,Biscoe,Yes,Nov-2009,47.2,15.5,215.0,4975.0,Female,8.30817,-26.21651,,2009
2009-10,Gentoo,Anvers,Biscoe,Yes,Nov-2009,49.1,15.0,228.0,5500.0,Male,8.65914,-25.79203,,2009
2009-10,Gentoo,Anvers,Biscoe,Yes,Dec-2009,47.3,13.8,216.0,4725.0,,8.25818,-26.23886,,2009
2009-10,Gentoo,Anvers,Biscoe,Yes,Dec-2009,46.8,16.1,215.0,5500.0,Male,8.32359,-26.05756,,2009
2009-10,Gentoo,Anvers,Biscoe,Yes,Nov-2009,41.7,14.7,210.0,4700.0,Female,8.12311,-26.44815,,2009
2009-10,Gentoo,Anvers,Biscoe,Yes,Nov-2009,53.4,15.8,219.0,5500.0,Male,8.41017,-26.33867,,2009
2009-10,Gentoo,Anvers,Biscoe,Yes,Nov-2009,43.3,14.0,208.0,4575.0,Female,8.4207,-26.38092,,2009
2009-10,Gentoo,Anvers,Biscoe,Yes,Nov-2009,48.1,15.1,209.0,5500.0,Male,8.45738,-26.22664,,2009
2009-10,Gentoo,Anvers,Biscoe,Yes,Nov-2009,50.5,15.2,216.0,5000.0,Female,8.24691,-26.18466,,2009
2009-10,Gentoo,Anvers,Biscoe,Yes,Nov-2009,49.8,15.9,229.0,5950.0,Male,8.29226,-26.21019,,2009
2009-10,Gentoo,Anvers,Biscoe,Yes,Nov-2009,43.5,15.2,213.0,4650.0,Female,8.21634,-26.11046,,2009
2009-10,Gentoo,Anvers,Biscoe,Yes,Nov-2009,51.5,16.3,230.0,5500.0,Male,8.78557,-25.76147,,2009
2009-10,Gentoo,Anvers,Biscoe,Yes,Nov-2009,46.2,14.1,217.0,4375.0,Female,8.30231,-25.96013,,2009
2009-10,Gentoo,Anvers,Biscoe,Yes,Nov-2009,55.1,16.0,230.0,5850.0,Male,8.08354,-26.18161,,2009
2009-10,Gentoo,Anvers,Biscoe,Yes,Dec-2009,44.5,15.7,217.0,4875.0,,8.04111,-26.18444,,2009
2009-10,Gentoo,Anvers,Biscoe,Yes,Dec-2009,48.8,16.2,222.0,6000.0,Male,8.33825,-25.88547,,2009
2009-10,Gentoo,Anvers,Biscoe,No,Dec-2009,47.2,13.7,214.0,4925.0,Female,7.99184,-26.20538,,2009
2009-10,Gentoo,Anvers,Biscoe,No,Dec-2009,38.70435866695998,18.870159484609303,200.56180902296902,3439.5300647402746,,9.167095505350002,-25.675023128649677,,2009
2009-10,Gentoo,Anvers,Biscoe,Yes,Nov-2009,46.8,14.3,215.0,4850.0,Female,8.41151,-26.13832,,2009
2009-10,Gentoo,Anvers,Biscoe,Yes,Nov-2009,50.4,15.7,222.0,5750.0,Male,8.30166,-26.04117,,2009
2009-10,Gentoo,Anvers,Biscoe,Yes,Nov-2009,45.2,14.8,212.0,5200.0,Female,8.24246,-26.11969,,2009
2009-10,Gentoo,Anvers,Biscoe,Yes,Nov-2009,49.9,16.1,213.0,5400.0,Male,8.3639,-26.15531,,2009
